id,title,note_format,swappable_sides,content_position,content_sub_position,content_type,markdown_content,file_url,is_correct
1,"Arrays 01 (Q2, Q56)",multiple_choice,,1,1,text,"<p>
        How is a <code class=""language-javascript"">forEach</code> statement different from
        a <code class=""language-javascript"">for</code> statement?
</p>",,
1,"Arrays 01 (Q2, Q56)",multiple_choice,,2,1,text,"A <code class=""language-javascript"">forEach</code> statement is generic, but a <code class=""language-javascript"">for</code> statement can be used only with an array.",,
1,"Arrays 01 (Q2, Q56)",multiple_choice,,2,2,text,"Only a <code class=""language-javascript"">for</code> statement uses a callback function.",,
1,"Arrays 01 (Q2, Q56)",multiple_choice,,2,3,text,"A <code class=""language-javascript"">for</code> statement is generic, but a <code class=""language-javascript"">forEach</code> statement can be used only with an array.",,1
1,"Arrays 01 (Q2, Q56)",multiple_choice,,2,4,text,"Only a <code class=""language-javascript"">forEach</code> statement lets you specify your own iterator.",,
1,"Arrays 01 (Q2, Q56)",multiple_choice,,3,1,text,"<p class=""subtitle"">Resource(s):</p>

<ul>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/for"" target=""_blank"" rel=""noopener noreferrer"">
            for</a>.
        </li>
        <li>
          <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/forEach"" target=""_blank"" rel=""noopener noreferrer"">
            Array.prototype.forEach()</a>.
        </li>
</ul>",,
2,Arrays 02 (Q14),multiple_choice,,1,1,text,"<pre><code class=""language-javascript"">let roadTypes = ['street', 'road', 'avenue', 'circle'];</code></pre>

<p>
        How would you reference the text <code class=""language-javascript"">'avenue'</code> in the code above?
</p>",,
2,Arrays 02 (Q14),multiple_choice,,2,1,text,"<code class=""language-javascript"">roadTypes.2</code>",,
2,Arrays 02 (Q14),multiple_choice,,2,2,text,"<code class=""language-javascript"">roadTypes[3]</code>",,
2,Arrays 02 (Q14),multiple_choice,,2,3,text,"<code class=""language-javascript"">roadTypes.3</code>",,
