card_name,card_id,content_index,image_url,markdown,is_correct
,010b9234-a4c4-4e4c-b936-4ab7d818e2e1,30,,What is the primary goal of isolating impurity in functional programming?,
,010b9234-a4c4-4e4c-b936-4ab7d818e2e1,41,,To push side effects to the outer edge of the program,true
,010b9234-a4c4-4e4c-b936-4ab7d818e2e1,42,,To eliminate all input/output operations,false
,010b9234-a4c4-4e4c-b936-4ab7d818e2e1,43,,To prevent any external library usage,false
,010b9234-a4c4-4e4c-b936-4ab7d818e2e1,44,,To make all functions return boolean values,false
,09818ea2-b0e4-4fd4-a455-8fe76f02ac16,30,,What are the two defining characteristics of a pure function?,
,09818ea2-b0e4-4fd4-a455-8fe76f02ac16,41,,No side effects and deterministic based only on input arguments,true
,09818ea2-b0e4-4fd4-a455-8fe76f02ac16,42,,Uses arrow function syntax and accepts multiple parameters,false
,09818ea2-b0e4-4fd4-a455-8fe76f02ac16,43,,Always returns an array and never modifies global state,false
,09818ea2-b0e4-4fd4-a455-8fe76f02ac16,44,,Can log to console and depends on external variables,false
,2e6a3a51-67fe-4fed-93de-362b3a40c3cc,30,,What happens when a pure function calls an impure function?,
,2e6a3a51-67fe-4fed-93de-362b3a40c3cc,41,,The entire function becomes impure,true
,2e6a3a51-67fe-4fed-93de-362b3a40c3cc,42,,JavaScript prevents the function from executing,false
,2e6a3a51-67fe-4fed-93de-362b3a40c3cc,43,,The impure function is automatically converted to pure,false
,2e6a3a51-67fe-4fed-93de-362b3a40c3cc,44,,The function remains pure,false
,32f03bdc-a53a-46c3-b37f-ded66289cf5d,30,,"In functional programming, what happens to the core of the program after handling impure operations?",
,32f03bdc-a53a-46c3-b37f-ded66289cf5d,41,,It gets deleted,false
,32f03bdc-a53a-46c3-b37f-ded66289cf5d,42,,It requires constant manual intervention,false
,32f03bdc-a53a-46c3-b37f-ded66289cf5d,43,,It becomes pure and deterministic,true
,32f03bdc-a53a-46c3-b37f-ded66289cf5d,44,,It remains completely unpredictable,false
,39c50b3c-ebe5-4598-af9c-ddab16e4edf6,30,,What happens to side-effecting operations in a functional programming approach?,
,39c50b3c-ebe5-4598-af9c-ddab16e4edf6,41,,They are completely forbidden,false
,39c50b3c-ebe5-4598-af9c-ddab16e4edf6,42,,They are immediately converted to pure functions,false
,39c50b3c-ebe5-4598-af9c-ddab16e4edf6,43,,They are pushed to the outermost shell of the program,true
,39c50b3c-ebe5-4598-af9c-ddab16e4edf6,44,,They are ignored during program execution,false
,4aee80e3-a742-40ee-8aee-984410ec8cd5,30,,What problem can arise if a recursive function lacks a base case?,
,4aee80e3-a742-40ee-8aee-984410ec8cd5,41,,The function will return undefined,false
,4aee80e3-a742-40ee-8aee-984410ec8cd5,42,,The function will return zero,false
,4aee80e3-a742-40ee-8aee-984410ec8cd5,43,,The function will stop executing,false
,4aee80e3-a742-40ee-8aee-984410ec8cd5,44,,The function will cause a stack overflow,true
,4b3371ea-2f1d-433e-8e9c-a54c0bf61a86,30,,What is a key requirement for a function to be considered pure?,
,4b3371ea-2f1d-433e-8e9c-a54c0bf61a86,41,,Always modify input parameters,false
,4b3371ea-2f1d-433e-8e9c-a54c0bf61a86,42,,Never use built-in language functions,false
,4b3371ea-2f1d-433e-8e9c-a54c0bf61a86,43,,Always return the same output for the same input,true
,4b3371ea-2f1d-433e-8e9c-a54c0bf61a86,44,,Use only arrow function syntax,false
,552ccc10-c2d0-4908-a4dc-774bfe758b49,30,,Why do functional programmers aim to isolate impure operations?,
,552ccc10-c2d0-4908-a4dc-774bfe758b49,41,,To completely prevent any side effects,false
,552ccc10-c2d0-4908-a4dc-774bfe758b49,42,,To eliminate the need for input/output,false
,552ccc10-c2d0-4908-a4dc-774bfe758b49,43,,To reduce program complexity and improve predictability,true
,552ccc10-c2d0-4908-a4dc-774bfe758b49,44,,To make debugging impossible,false
,5708e842-528e-480a-922a-7bad5eb1a6fa,30,,How does declarative programming differ from imperative programming?,
,5708e842-528e-480a-922a-7bad5eb1a6fa,41,,"Declarative programming focuses on describing the desired result, not the specific steps",true
,5708e842-528e-480a-922a-7bad5eb1a6fa,42,,Declarative programming requires more manual memory management,false
,5708e842-528e-480a-922a-7bad5eb1a6fa,43,,Declarative programming is slower in execution,false
,5708e842-528e-480a-922a-7bad5eb1a6fa,44,,Declarative programming uses more complex code structures,false
,602a81f6-6cba-4511-b66e-60771e9cfad4,30,,What makes an array operation potentially impure in JavaScript?,
,602a81f6-6cba-4511-b66e-60771e9cfad4,41,,Arrays cannot be used in pure functions,false
,602a81f6-6cba-4511-b66e-60771e9cfad4,42,,Arrays always return the same value,false
,602a81f6-6cba-4511-b66e-60771e9cfad4,43,,Arrays require explicit type conversion,false
