card_name,card_id,content_index,image_url,markdown,swappable_sides,audio_url
,123a9c90-0613-493a-a2fd-1e605e09f15b,10,,What is the main goal of separating pure and impure functions in functional programming?,false,
,123a9c90-0613-493a-a2fd-1e605e09f15b,20,,"To make the core program more predictable, easier to debug, and maintain by minimizing side effects and ensuring deterministic behavior in the main logic.",false,
,17d529b7-6424-4552-aa89-1f3043f0fceb,10,,"<pre><code class=""language-javascript"">function encodeString(stringValue) {
    return encodeURIComponent(stringValue);
}</code></pre>

Is this function pure?",false,
,17d529b7-6424-4552-aa89-1f3043f0fceb,20,,This function is pure. It is deterministic and has no side effects because the built-in JavaScript function <code>encodeURIComponent</code> is pure.,false,
,1871cbe2-7c06-4128-b9b6-b9bc2d8095d5,10,,"<pre><code class=""language-javascript"">function add(a, b) {
    return a + b;
}</code></pre>

Is this function pure?",false,
,1871cbe2-7c06-4128-b9b6-b9bc2d8095d5,20,,Thi function is pure. It is deterministic. The same input always returns the same output.,false,
,1ce40bfd-cc73-4e95-a14c-9be9c4943256,10,,What makes a function impure when it uses variables from a hicher scope?,false,
,1ce40bfd-cc73-4e95-a14c-9be9c4943256,20,,"Using variables from a higher scope means the function is not solely dependent on its input arguments, which breaks the principle of pure functions that should only rely on their direct inputs.",false,
,275e7098-71c5-4f15-8684-2fca8aff66e3,10,,"In functional programming, what is the primary unit of organization?",false,
,275e7098-71c5-4f15-8684-2fca8aff66e3,20,,A pure function,false,
,3db17ad2-1949-4dd3-bbb8-282bdf16d784,10,,What does a pure function guarantee in functional programming?,false,
,3db17ad2-1949-4dd3-bbb8-282bdf16d784,20,,"A pure function always returns the same output for a given input, has no side effects, and does not modify external state or data.",false,
,42c7c706-8ac0-4ddb-9d78-1df980e7e001,10,,What is the key strategy for handling impurity in functional programming?,false,
,42c7c706-8ac0-4ddb-9d78-1df980e7e001,20,,"Isolate impurity to the outer edge of the program, pushing side effects and non-deterministic operations to the program's periphery while keeping the core logic pure and deterministic.",false,
